TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHI,CHI @ BKN,02/09/2023,L,240,105,42,91,46.2,5,26,19.2,16,21,76.2,8,38,46,15,4,2,12,16,-11
DEN,DEN @ ORL,02/09/2023,L,240,104,39,84,46.4,10,33,30.3,16,24,66.7,7,32,39,24,6,5,16,15,-11
ORL,ORL vs. DEN,02/09/2023,W,240,115,47,97,48.5,9,27,33.3,12,19,63.2,15,32,47,24,12,6,10,16,11
ATL,ATL vs. PHX,02/09/2023,W,240,116,43,95,45.3,10,29,34.5,20,27,74.1,20,39,59,23,6,4,19,22,9
PHX,PHX @ ATL,02/09/2023,L,240,107,39,86,45.3,7,30,23.3,22,29,75.9,9,26,35,24,14,10,11,19,-9
BKN,BKN vs. CHI,02/09/2023,W,240,116,39,91,42.9,17,44,38.6,21,25,84.0,11,38,49,26,8,1,11,20,11
MIL,MIL @ LAL,02/09/2023,W,240,115,45,99,45.5,12,47,25.5,13,18,72.2,16,35,51,24,5,7,11,20,9
LAL,LAL vs. MIL,02/09/2023,L,240,106,42,89,47.2,7,18,38.9,15,21,71.4,11,32,43,23,2,2,12,19,-9
SAS,SAS @ TOR,02/08/2023,L,240,98,35,87,40.2,9,32,28.1,19,27,70.4,7,32,39,24,11,4,16,18,-14
WAS,WAS vs. CHA,02/08/2023,W,240,118,44,87,50.6,15,37,40.5,15,17,88.2,11,41,52,29,4,12,17,17,14
CHA,CHA @ WAS,02/08/2023,L,240,104,39,93,41.9,9,31,29.0,17,21,81.0,12,28,40,23,11,5,7,17,-14
LAC,LAC vs. DAL,02/08/2023,L,240,104,38,86,44.2,12,33,36.4,16,21,76.2,9,31,40,21,10,4,11,18,-6
PHI,PHI @ BOS,02/08/2023,L,240,99,37,83,44.6,10,31,32.3,15,20,75.0,8,29,37,20,9,3,7,16,-7
BOS,BOS vs. PHI,02/08/2023,W,240,106,40,76,52.6,19,35,54.3,7,10,70.0,5,39,44,25,2,5,15,19,7
